Issue Date,Number of tickets
8/9/2018 9:51,1
3/28/2019 13:06,1
10/3/2019 10:06,1
10/23/2018 9:21,1
8/10/2018 9:51,1
6/17/2019 7:05,1
3/29/2019 14:05,1
3/8/2019 10:08,1
3/29/2019 14:05,1
8/29/2019 20:06,1
10/23/2018 9:23,1
6/12/2019 15:30,1
8/9/2018 18:51,1
10/23/2018 10:17,1
3/29/2019 14:05,1
10/19/2018 14:31,1
10/19/2018 8:05,1
3/29/2019 6:06,1
6/11/2019 20:05,1
8/9/2018 14:43,1
3/27/2019 18:05,1
8/29/2019 20:06,1
8/13/2018 9:52,1
10/23/2018 9:21,1
8/29/2019 15:06,1
10/23/2018 9:17,1
10/23/2018 9:25,1
8/13/2018 9:52,1
4/1/2019 8:06,1
3/8/2019 10:09,1
9/24/2018 17:32,1
8/13/2018 9:52,1
4/1/2019 18:05,1
7/8/2019 16:16,1
7/10/2019 13:05,1
10/3/2019 15:05,1
10/21/2018 17:32,1
10/18/2018 17:58,1
3/5/2020 18:29,1
3/5/2020 18:51,1
8/13/2018 9:52,1
1/27/2020 14:55,1
9/11/2019 13:06,1
10/26/2018 11:31,1
3/8/2019 10:09,1
4/5/2019 20:05,1
4/10/2019 7:07,1
3/5/2020 20:25,1
1/27/2020 12:09,1
8/13/2018 9:52,1
3/5/2020 18:39,1
4/1/2019 10:06,1
3/6/2020 20:06,1
8/29/2019 15:06,1
4/1/2019 9:06,1
9/10/2019 9:28,1
7/15/2019 18:05,1
3/5/2020 18:00,1
9/3/2019 11:21,1
4/3/2019 19:05,1
4/4/2019 12:06,1
6/19/2019 6:06,1
7/15/2019 20:05,1
4/10/2019 7:06,1
9/11/2019 13:06,1
3/5/2020 18:22,1
7/2/2019 12:06,1
10/23/2018 8:54,1
6/13/2019 7:06,1
4/10/2019 7:07,1
3/5/2020 20:26,1
7/16/2019 18:06,1
4/5/2019 20:05,1
7/11/2019 14:26,1
3/5/2020 18:54,1
7/24/2019 20:06,1
9/11/2019 13:06,1
8/10/2018 9:51,1
4/9/2019 11:05,1
10/3/2019 10:06,1
3/5/2020 18:56,1
8/23/2018 12:00,1
