Time,Semester Break,Exam,Holiday,Tickets,Weekday,Month
8/1/2018,0,0,0,21,0,8
8/2/2018,0,0,0,17,0,8
8/3/2018,0,0,0,7,0,8
8/4/2018,0,0,0,1,1,8
8/5/2018,0,0,0,0,1,8
8/6/2018,0,0,0,27,0,8
8/7/2018,0,0,0,7,0,8
8/8/2018,0,0,0,17,0,8
8/9/2018,0,0,0,26,0,8
8/10/2018,0,0,0,29,0,8
8/11/2018,0,0,0,0,1,8
8/12/2018,0,0,0,1,1,8
8/13/2018,0,1,0,45,0,8
8/14/2018,0,1,0,35,0,8
8/15/2018,1,0,0,39,0,8
8/16/2018,1,0,0,24,0,8
8/17/2018,1,0,0,35,0,8
8/18/2018,1,0,0,2,1,8
8/19/2018,1,0,0,3,1,8
8/20/2018,1,0,0,51,0,8
8/21/2018,1,0,0,52,0,8
8/22/2018,0,0,0,38,0,8
8/23/2018,0,0,0,28,0,8
8/24/2018,0,0,0,33,0,8
8/25/2018,0,0,0,0,1,8
8/26/2018,0,0,0,1,1,8
8/27/2018,0,0,0,24,0,8
8/28/2018,0,0,0,18,0,8
8/29/2018,0,0,0,19,0,8
8/30/2018,0,0,0,15,0,8
8/31/2018,0,0,0,87,0,8
9/1/2018,0,0,0,0,1,9
9/2/2018,0,0,0,0,1,9
9/3/2018,0,0,1,0,0,9
9/4/2018,0,0,0,50,0,9
9/5/2018,0,0,0,75,0,9
9/6/2018,0,0,0,55,0,9
9/7/2018,0,0,0,28,0,9
9/8/2018,0,0,0,0,1,9
9/9/2018,0,0,0,0,1,9
9/10/2018,0,0,0,34,0,9
9/11/2018,0,0,0,19,0,9
9/12/2018,0,0,0,36,0,9
9/13/2018,0,0,0,40,0,9
9/14/2018,0,0,0,7,0,9
9/15/2018,0,0,0,0,1,9
9/16/2018,0,0,0,0,1,9
9/17/2018,0,0,0,70,0,9
9/18/2018,0,0,0,48,0,9
9/19/2018,0,0,0,16,0,9
9/20/2018,0,0,0,31,0,9
9/21/2018,0,0,0,27,0,9
9/22/2018,0,0,0,0,1,9
9/23/2018,0,0,0,1,1,9
9/24/2018,0,0,0,12,0,9
9/25/2018,0,0,0,19,0,9
9/26/2018,0,0,0,8,0,9
9/27/2018,0,0,0,0,0,9
9/28/2018,0,0,0,2,0,9
9/29/2018,0,0,0,0,1,9
9/30/2018,0,0,0,1,1,9
10/1/2018,0,0,0,49,0,10
10/2/2018,0,0,0,18,0,10
10/3/2018,0,0,0,192,0,10
10/4/2018,0,0,0,29,0,10
10/5/2018,0,0,0,36,0,10
