time,revenue
8/1/2018,6440
8/2/2018,5680
8/3/2018,5565
8/4/2018,1635
8/5/2018,1455
8/6/2018,9385
8/7/2018,4260
8/8/2018,5885
8/9/2018,5735
8/10/2018,11660
8/11/2018,905
8/12/2018,1595
8/13/2018,9000
8/14/2018,8330
8/15/2018,9535
8/16/2018,7350
8/17/2018,11375
8/18/2018,3475
8/19/2018,4960
8/20/2018,18400
8/21/2018,15635
8/22/2018,42455
8/23/2018,35245
8/24/2018,21425
8/25/2018,1870
8/26/2018,3250
8/27/2018,8420
8/28/2018,6085
8/29/2018,4745
8/30/2018,4585
8/31/2018,10380
9/1/2018,80
9/2/2018,405
9/3/2018,565
9/4/2018,10065
9/5/2018,11380
9/6/2018,27855
9/7/2018,7640
9/8/2018,285
9/9/2018,1125
9/10/2018,8405
9/11/2018,7345
9/12/2018,9150
9/13/2018,15915
9/14/2018,3960
9/15/2018,130
9/16/2018,1440
9/17/2018,25930
9/18/2018,32895
9/19/2018,24385
9/20/2018,31350
9/21/2018,22900
9/22/2018,7370
9/23/2018,3545
9/24/2018,21845
9/25/2018,27495
9/26/2018,21375
9/27/2018,1360
9/28/2018,2035
9/29/2018,110
9/30/2018,425
10/1/2018,7450
10/2/2018,7000
10/3/2018,29730
10/4/2018,7380
10/5/2018,7320
10/6/2018,3895
10/7/2018,2085
10/8/2018,11970
10/9/2018,7655
10/10/2018,8485
10/11/2018,9270
10/12/2018,5895
10/13/2018,3190
10/14/2018,3250
10/15/2018,3030
10/16/2018,7855
10/17/2018,2525
10/18/2018,2665
10/19/2018,6005
10/20/2018,55
10/21/2018,11245
10/22/2018,2575
10/23/2018,8350
10/24/2018,2530
10/25/2018,11660
10/26/2018,7045
10/27/2018,660
10/28/2018,1265
10/29/2018,2575
10/30/2018,7950
10/31/2018,5715
11/1/2018,3020
11/2/2018,1980
11/3/2018,1745
11/4/2018,2690
11/5/2018,935
11/6/2018,2875
11/7/2018,3005
11/8/2018,1845
11/9/2018,4235
11/10/2018,800
11/11/2018,0
11/12/2018,7030
11/13/2018,5075
11/14/2018,3180
11/15/2018,2480
11/16/2018,5830
11/17/2018,550
11/18/2018,1405
11/19/2018,4170
11/20/2018,6585
11/21/2018,1380
11/22/2018,0
11/23/2018,2505
11/24/2018,810
11/25/2018,2380
11/26/2018,6425
11/27/2018,2485
11/28/2018,3130
11/29/2018,3140
11/30/2018,5570
12/1/2018,480
12/2/2018,3765
12/3/2018,3270
12/4/2018,7340
12/5/2018,5420
12/6/2018,4055
12/7/2018,2515
12/8/2018,1085
12/9/2018,405
12/10/2018,6450
12/11/2018,3695
12/12/2018,3560
12/13/2018,895
12/14/2018,665
12/15/2018,955
12/16/2018,1415
12/17/2018,3720
12/18/2018,2580
12/19/2018,5135
12/20/2018,1590
12/21/2018,4375
12/22/2018,0
12/23/2018,3800
12/24/2018,1685
12/25/2018,0
12/26/2018,575
12/27/2018,0
12/28/2018,0
12/29/2018,0
12/30/2018,0
12/31/2018,0
1/1/2019,0
1/2/2019,3520
1/3/2019,2370
1/4/2019,3815
1/5/2019,935
1/6/2019,2005
1/7/2019,1605
1/8/2019,2135
1/9/2019,3280
1/10/2019,3290
1/11/2019,5120
1/12/2019,0
1/13/2019,1430
1/14/2019,1185
1/15/2019,4275
1/16/2019,2175
1/17/2019,5825
1/18/2019,4955
1/19/2019,110
1/20/2019,430
1/21/2019,780
1/22/2019,3055
1/23/2019,7980
1/24/2019,7510
1/25/2019,10080
1/26/2019,55
1/27/2019,2585
1/28/2019,14690
1/29/2019,12695
1/30/2019,10965
1/31/2019,8380
2/1/2019,9125
2/2/2019,2870
2/3/2019,2915
2/4/2019,16945
2/5/2019,11660
2/6/2019,11050
2/7/2019,30565
2/8/2019,13185
2/9/2019,925
2/10/2019,2655
2/11/2019,27700
2/12/2019,14515
2/13/2019,9750
2/14/2019,21835
2/15/2019,31620
2/16/2019,890
2/17/2019,7205
2/18/2019,21240
2/19/2019,20905
2/20/2019,16675
2/21/2019,12460
2/22/2019,20115
2/23/2019,11025
2/24/2019,4705
2/25/2019,12560
2/26/2019,23330
2/27/2019,20560
2/28/2019,10620
3/1/2019,11510
3/2/2019,3575
3/3/2019,4435
3/4/2019,10055
3/5/2019,7295
3/6/2019,6875
3/7/2019,8560
3/8/2019,32220
3/9/2019,1755
3/10/2019,1585
3/11/2019,8885
3/12/2019,6100
3/13/2019,6610
3/14/2019,8800
3/15/2019,5405
3/16/2019,3320
3/17/2019,5000
3/18/2019,12505
3/19/2019,10020
3/20/2019,11200
3/21/2019,13470
3/22/2019,12610
3/23/2019,1255
3/24/2019,6510
3/25/2019,18145
3/26/2019,12950
3/27/2019,12535
3/28/2019,10615
3/29/2019,14455
3/30/2019,4545
3/31/2019,4470
4/1/2019,12120
4/2/2019,9655
4/3/2019,8110
4/4/2019,10500
4/5/2019,11245
4/6/2019,1970
4/7/2019,3175
4/8/2019,13695
4/9/2019,14905
4/10/2019,9855
4/11/2019,7935
4/12/2019,16375
4/13/2019,1480
4/14/2019,9925
4/15/2019,16920
4/16/2019,9615
4/17/2019,11600
4/18/2019,15465
4/19/2019,22515
4/20/2019,395
4/21/2019,3855
4/22/2019,18335
4/23/2019,9140
4/24/2019,11860
4/25/2019,9525
4/26/2019,18325
4/27/2019,3350
4/28/2019,3020
4/29/2019,12965
4/30/2019,9165
5/1/2019,9385
5/2/2019,8365
5/3/2019,10405
5/4/2019,1625
5/5/2019,4415
5/6/2019,3770
5/7/2019,4075
5/8/2019,7050
5/9/2019,1215
5/10/2019,825
5/11/2019,0
5/12/2019,375
5/13/2019,5140
5/14/2019,10290
5/15/2019,6630
5/16/2019,5295
5/17/2019,8075
5/18/2019,0
5/19/2019,1585
5/20/2019,3480
5/21/2019,8150
5/22/2019,1825
5/23/2019,1660
5/24/2019,2170
5/25/2019,0
5/26/2019,2290
