Time,Exam,Holiday,Semester,Tickets Issued,Issued Amount
8/1/18,0,0,2,128,6440
8/2/18,0,0,2,113,5680
8/3/18,0,0,2,123,5565
8/4/18,0,0,2,30,1635
8/5/18,0,0,2,27,1455
8/6/18,0,0,2,185,9385
8/7/18,0,0,2,91,4260
8/8/18,0,0,2,125,5885
8/9/18,0,0,2,122,5735
8/10/18,0,0,2,223,11660
8/11/18,0,0,2,17,905
8/12/18,0,0,2,29,1595
8/13/18,1,0,2,175,9000
8/14/18,1,0,0,179,8330
8/15/18,0,0,1,192,9535
8/16/18,0,0,1,180,7350
8/17/18,0,0,1,213,11375
8/18/18,0,0,1,64,3475
8/19/18,0,0,1,91,4960
8/20/18,0,0,1,337,18400
8/21/18,0,0,1,291,15635
8/22/18,0,0,3,777,42455
8/23/18,0,0,3,641,35245
8/24/18,0,0,3,388,21425
8/25/18,0,0,3,34,1870
8/26/18,0,0,3,59,3250
8/27/18,0,0,3,177,8420
8/28/18,0,0,3,139,6085
8/29/18,0,0,3,126,4745
8/30/18,0,0,3,130,4585
8/31/18,0,0,3,249,10380
9/1/18,0,0,3,2,80
9/2/18,0,0,3,40,405
9/3/18,0,1,3,60,565
9/4/18,0,0,3,674,10065
9/5/18,0,0,3,800,11380
9/6/18,0,0,3,640,27855
9/7/18,0,0,3,173,7640
9/8/18,0,0,3,7,285
9/9/18,0,0,3,24,1125
9/10/18,0,0,3,195,8405
9/11/18,0,0,3,160,7345
9/12/18,0,0,3,176,9150
9/13/18,0,0,3,302,15915
9/14/18,0,0,3,101,3960
9/15/18,0,0,3,3,130
9/16/18,0,0,3,27,1440
9/17/18,0,0,3,537,25930
9/18/18,0,0,3,629,32895
9/19/18,0,0,3,480,24385
9/20/18,0,0,3,591,31350
9/21/18,0,0,3,463,22900
9/22/18,0,0,3,134,7370
9/23/18,0,0,3,66,3545
9/24/18,0,0,3,457,21845
9/25/18,0,0,3,516,27495
9/26/18,0,0,3,410,21375
9/27/18,0,0,3,86,1360
9/28/18,0,0,3,37,2035
9/29/18,0,0,3,2,110
9/30/18,0,0,3,7,425
10/1/18,0,0,3,146,7450
10/2/18,0,0,3,216,7000
10/3/18,0,0,3,567,29730
10/4/18,0,0,3,199,7380
10/5/18,0,0,3,202,7320
10/6/18,0,0,3,73,3895
10/7/18,0,0,3,41,2085
10/8/18,0,0,3,249,11970
