Time,Exam,Holiday,Semester,Issued Amount
8/1/18,0,0,2,6440
8/2/18,0,0,2,5680
8/3/18,0,0,2,5565
8/4/18,0,0,2,1635
8/5/18,0,0,2,1455
8/6/18,0,0,2,9385
8/7/18,0,0,2,4260
8/8/18,0,0,2,5885
8/9/18,0,0,2,5735
8/10/18,0,0,2,11660
8/11/18,0,0,2,905
8/12/18,0,0,2,1595
8/13/18,1,0,2,9000
8/14/18,1,0,0,8330
8/15/18,0,0,1,9535
8/16/18,0,0,1,7350
8/17/18,0,0,1,11375
8/18/18,0,0,1,3475
8/19/18,0,0,1,4960
8/20/18,0,0,1,18400
8/21/18,0,0,1,15635
8/22/18,0,0,3,42455
8/23/18,0,0,3,35245
8/24/18,0,0,3,21425
8/25/18,0,0,3,1870
8/26/18,0,0,3,3250
8/27/18,0,0,3,8420
8/28/18,0,0,3,6085
8/29/18,0,0,3,4745
8/30/18,0,0,3,4585
8/31/18,0,0,3,10380
9/1/18,0,0,3,80
9/2/18,0,0,3,405
9/3/18,0,1,3,565
9/4/18,0,0,3,10065
9/5/18,0,0,3,11380
9/6/18,0,0,3,27855
9/7/18,0,0,3,7640
9/8/18,0,0,3,285
9/9/18,0,0,3,1125
9/10/18,0,0,3,8405
9/11/18,0,0,3,7345
9/12/18,0,0,3,9150
9/13/18,0,0,3,15915
9/14/18,0,0,3,3960
9/15/18,0,0,3,130
9/16/18,0,0,3,1440
9/17/18,0,0,3,25930
9/18/18,0,0,3,32895
9/19/18,0,0,3,24385
9/20/18,0,0,3,31350
9/21/18,0,0,3,22900
9/22/18,0,0,3,7370
9/23/18,0,0,3,3545
9/24/18,0,0,3,21845
9/25/18,0,0,3,27495
9/26/18,0,0,3,21375
9/27/18,0,0,3,1360
9/28/18,0,0,3,2035
9/29/18,0,0,3,110
9/30/18,0,0,3,425
10/1/18,0,0,3,7450
10/2/18,0,0,3,7000
10/3/18,0,0,3,29730
10/4/18,0,0,3,7380
10/5/18,0,0,3,7320
10/6/18,0,0,3,3895
10/7/18,0,0,3,2085
10/8/18,0,0,3,11970
10/9/18,0,0,3,7655
10/10/18,0,0,3,8485
10/11/18,0,0,3,9270
10/12/18,0,0,3,5895
10/13/18,0,0,3,3190
10/14/18,0,0,3,3250
10/15/18,0,0,3,3030
10/16/18,0,0,3,7855
10/17/18,0,0,3,2525
10/18/18,0,0,3,2615
10/19/18,0,0,3,6005
10/20/18,0,0,3,55
10/21/18,0,0,3,11245
10/22/18,0,0,3,2575
10/23/18,0,0,3,8350
10/24/18,0,0,3,2530
10/25/18,0,0,3,11660
10/26/18,0,0,3,7045
10/27/18,0,0,3,660
10/28/18,0,0,3,1265
10/29/18,0,0,3,2575
10/30/18,0,0,3,7950
10/31/18,0,0,3,5715
11/1/18,0,0,3,3020
11/2/18,0,0,3,1980
11/3/18,0,0,3,1745
11/4/18,0,0,3,2690
11/5/18,0,0,3,935
11/6/18,0,0,3,2875
11/7/18,0,0,3,3005
11/8/18,0,0,3,1845
11/9/18,0,0,3,4235
11/10/18,0,0,3,800
11/11/18,0,0,3,0
11/12/18,0,0,3,7030
11/13/18,0,0,3,5075
11/14/18,0,0,3,3180
11/15/18,0,0,3,2480
11/16/18,0,0,3,5830
11/17/18,0,0,3,550
11/18/18,0,0,3,1405
11/19/18,0,0,3,4170
11/20/18,0,0,3,6585
11/21/18,0,1,3,1380
