target,Semester,Exam,Time_of_day,Warning,Month,Day_of_week
1,19,0,17,0,8,Thursday
1,14,0,11,0,5,Thursday
1,10,0,9,0,2,Thursday
1,10,0,8,0,3,Thursday
2,12,0,14,1,9,Wednesday
1,4,0,7,0,1,Monday
2,3,0,8,0,8,Thursday
1,3,0,20,0,9,Friday
2,4,0,8,0,4,Friday
1,10,0,17,0,3,Tuesday
3,13,0,10,0,2,Monday
1,19,0,16,0,8,Friday
1,3,0,23,0,10,Wednesday
1,3,0,17,0,9,Friday
2,14,0,12,0,6,Wednesday
1,3,0,5,0,11,Saturday
1,18,0,18,0,8,Wednesday
1,14,0,18,0,6,Wednesday
1,3,0,11,0,9,Thursday
1,3,0,15,0,9,Thursday
1,10,0,13,0,3,Thursday
1,14,0,13,0,7,Thursday
1,14,0,14,0,6,Monday
15,12,0,8,1,9,Thursday
1,19,0,12,0,8,Tuesday
2,3,0,15,0,8,Friday
1,14,0,16,0,6,Wednesday
1,19,0,9,0,8,Tuesday
2,10,0,10,0,3,Tuesday
1,6,0,14,0,8,Friday
1,10,0,15,0,4,Wednesday
1,3,0,5,0,9,Wednesday
1,3,0,5,0,9,Wednesday
1,14,0,13,0,6,Thursday
1,14,0,9,0,7,Monday
1,14,0,14,0,8,Wednesday
1,14,0,11,0,8,Monday
2,3,0,9,0,10,Tuesday
1,14,0,12,0,8,Wednesday
1,16,0,14,0,2,Thursday
1,6,0,18,0,10,Wednesday
1,14,0,10,0,8,Monday
1,10,0,15,0,4,Monday
1,19,0,10,0,8,Monday
2,10,0,15,0,4,Thursday
1,14,0,10,0,6,Monday
2,16,0,18,0,4,Thursday
1,3,0,17,0,10,Wednesday
1,18,0,7,0,11,Friday
2,19,0,13,0,1,Tuesday
1,3,0,17,0,10,Sunday
1,13,1,9,0,5,Thursday
1,4,0,16,0,4,Thursday
1,15,0,9,1,8,Tuesday
1,10,0,12,0,4,Wednesday
2,14,0,8,0,8,Monday
1,15,0,8,0,10,Tuesday
1,15,0,14,0,8,Wednesday
1,15,0,10,1,8,Wednesday
1,10,0,7,0,4,Friday
1,17,0,12,0,6,Friday
1,12,0,10,0,9,Thursday
1,19,0,20,0,8,Wednesday
1,3,0,14,0,11,Tuesday
1,19,0,3,0,12,Sunday
1,15,0,10,0,8,Tuesday
1,10,0,15,0,4,Monday
